,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
28,533936,Ciudad Lineal,Pueblo Nuevo,40.43331,-3.64355,Private room,20,3,0,0.0,1,47
29,534128,Chamberí,Trafalgar,40.43158,-3.70071,Entire home/apt,194,3,8,0.08,12,321
30,534515,Centro,Justicia,40.42153,-3.69923,Entire home/apt,95,2,17,0.17,1,272
31,361930,Chamberí,Almagro,40.43761,-3.69802,Entire home/apt,75,2,167,1.67,4,0
32,564773,Fuencarral - El Pardo,Pilar,40.48313,-3.71017,Private room,40,1,8,0.7,1,339
33,574498,Centro,Universidad,40.42707,-3.70698,Entire home/apt,75,4,39,0.71,1,110
34,361930,Chamberí,Rios Rosas,40.43825,-3.69388,Entire home/apt,75,2,103,1.06,4,287
35,557423,Centro,Embajadores,40.40743,-3.69828,Entire home/apt,57,3,431,4.26,1,0
36,378073,Centro,Palacio,40.40958,-3.71042,Entire home/apt,85,3,71,0.74,9,322
37,605612,Centro,Palacio,40.41112,-3.71025,Private room,35,1,183,1.86,6,356
38,606925,Centro,Universidad,40.42381,-3.70571,Private room,29,1,218,2.15,3,230
39,605612,Centro,Embajadores,40.4112,-3.70762,Entire home/apt,67,1,509,5.09,6,143
40,632589,Centro,Cortes,40.41466,-3.70162,Entire home/apt,200,2,69,0.81,1,225
41,650803,Centro,Embajadores,40.41034,-3.69836,Private room,26,3,81,2.9,1,351
42,666482,Villaverde,Los Angeles,40.35735,-3.69634,Private room,21,1,72,0.72,1,170
43,723539,Centro,Embajadores,40.40672,-3.70116,Entire home/apt,80,2,22,0.54,9,61
44,739627,Hortaleza,Pinar del Rey,40.47851,-3.64418,Private room,40,1,4,1.17,1,338
45,740087,Centro,Cortes,40.41493,-3.70105,Entire home/apt,69,3,82,0.98,8,133
46,780107,Chamberí,Arapiles,40.43628,-3.70526,Entire home/apt,65,90,8,0.08,1,270
47,796746,Hortaleza,Piovera,40.45386,-3.64743,Private room,45,1,17,0.19,2,356
48,805726,Centro,Cortes,40.41515,-3.70003,Private room,25,2,63,0.64,5,231
49,814490,Centro,Universidad,40.42481,-3.70374,Entire home/apt,90,25,190,1.98,3,248
50,816497,Centro,Palacio,40.41607,-3.71101,Entire home/apt,150,3,4,0.04,2,337
51,845399,Centro,Universidad,40.4215,-3.70345,Private room,60,1,41,0.47,10,168
52,845399,Centro,Universidad,40.42342,-3.70487,Private room,60,1,193,2.08,10,166
53,596469,Centro,Universidad,40.42762,-3.70323,Hotel room,80,5,24,0.27,30,355
